Handling,Reward,Choice,Task.RT,Choice.RT,Experiment.Time,Trial.Outcome,Task.Type,Task.Setup,Block
14,8,1,0.647319078,2.01641798,9.071336985,0,2,3,1
14,8,1,0.394958973,3.999512911,11.05443192,0,1,7,1
14,8,1,0.626753092,5.999569893,13.0544889,0,0,6,1
14,8,1,0.513797045,8.016281843,15.07120109,0,2,0,1
14,8,1,0.813395977,9.999195814,17.05411506,0,0,5,1
14,8,1,0.43165493,12.01638389,19.07130289,0,2,6,1
14,8,1,0.547851086,14.01645684,21.07137609,0,2,1,1
14,20,1,0.651988983,1.999076128,29.12157297,0,0,6,1
14,20,1,0.462749004,3.999057055,31.1215539,0,1,4,1
14,20,1,0.428521156,5.999171019,33.1216681,0,0,3,1
14,20,1,0.381155968,8.015810013,35.13830709,0,2,5,1
14,20,2,0.398445129,10.01588106,37.13837695,0,2,6,1
14,20,1,0.443521023,11.99927497,39.12177205,0,0,4,1
14,20,1,0.59749794,14.01600695,41.13850307,0,2,3,1
14,4,0,0.138875008,0.160173893,47.34984589,0,0,0,1
14,8,1,0.514584064,2.015945911,53.40581608,0,2,1,1
14,8,1,0.447984934,4.015532017,55.40540195,0,2,5,1
14,8,1,0.431751966,6.015721083,57.40559006,0,2,2,1
14,8,1,0.617714882,7.999098063,59.38896799,0,1,6,1
14,8,1,0.556529045,9.999149084,61.38901901,0,0,5,1
14,8,1,0.70984292,11.99916697,63.38903689,0,1,2,1
14,8,1,0.490729094,13.99921799,65.38908792,0,1,2,1
14,20,1,0.523290157,1.999024153,73.43941998,0,1,5,1
14,20,1,0.604009151,3.998939037,75.43933511,0,0,4,1
14,20,1,0.828472853,5.99902606,77.43942189,0,0,1,1
14,20,1,0.616657972,7.999024153,79.43941998,0,1,4,1
14,20,1,0.527673006,9.999063969,81.43945909,0,0,6,1
14,20,1,0.503958941,11.99914908,83.43954396,0,0,6,1
14,20,1,0.449243069,13.99916697,85.43956208,0,1,0,1
14,4,1,0.605144024,1.99902916,93.48977399,0,0,5,1
14,4,1,0.42869997,3.999062061,95.48980689,0,1,6,1
14,4,1,0.751376867,5.999176025,97.48992109,0,0,7,1
14,4,1,0.360309124,7.999202013,99.48994589,0,1,3,1
14,4,1,0.459213972,9.999241114,101.4899859,0,0,1,1
14,4,1,0.415614128,11.99927711,103.4900219,0,1,3,1
14,4,1,0.386447191,13.99934506,105.4900899,0,1,4,1
14,8,2,0.997029066,2.015594006,113.556953,0,2,3,1
14,8,1,0.481483936,3.998971939,115.5403309,0,1,1,1
14,8,1,0.74793601,6.015693903,117.5570531,0,2,4,1
14,8,1,0.371179104,7.999109983,119.5404689,0,1,3,1
14,8,1,0.554966927,9.999119997,121.5404789,0,0,7,1
14,8,1,0.457031965,11.99914193,123.5404999,0,1,2,1
14,8,1,0.5852139,13.99917603,125.540534,0,0,0,1
14,20,1,0.48396492,1.99892807,133.5907359,0,1,4,1
14,20,1,0.429661036,3.999011993,135.5908201,0,1,7,1
14,20,2,0.463673115,6.015691042,137.6074979,0,2,5,1
14,20,1,0.41384697,7.998765945,139.590574,0,1,2,1
14,20,1,0.435983181,9.999171972,141.5909801,0,0,6,1
14,20,1,0.714506865,12.01585913,143.607667,0,2,7,1
14,20,1,0.459825993,13.99925208,145.5910599,0,1,3,1
14,8,1,0.480845928,1.999171972,153.641238,0,1,3,1
14,8,1,0.865166903,4.0159688,155.658035,0,2,7,1
14,8,1,0.412402868,5.999264956,157.64133,0,0,7,1
14,8,1,0.488143921,7.999336958,159.641403,0,0,7,1
14,8,1,0.63369894,9.999436855,161.6415019,0,0,6,1
14,8,1,0.531675816,12.01609182,163.6581581,0,2,1,1
14,8,1,0.477678061,13.99948597,165.641551,0,0,0,1
14,4,0,0.247872829,0.249756813,171.9425669,0,2,7,1
14,20,1,0.637209177,2.00000596,177.9751329,0,1,0,1
14,20,1,0.480731964,4.000098944,179.9752259,0,2,7,1
14,20,1,0.417968035,6.000152826,181.97528,0,1,1,1
14,20,2,0.515039921,8.000185966,183.9753129,0,2,3,1
14,20,1,0.372910023,10.00024581,185.975373,0,1,1,1
14,20,2,0.564059973,12.00028396,187.9754109,0,2,2,1
14,4,0,0.252394199,0.272813082,192.282829,0,0,0,1
14,4,0,0.345845938,0.351230145,196.6613791,0,1,6,1
14,20,1,0.62451005,1.998925924,202.6924191,0,1,6,1
14,20,1,0.441359997,3.999017,204.6925099,0,1,2,1
14,20,2,0.447634935,6.015746117,206.7092381,0,2,0,1
14,20,1,0.468955994,7.999098063,208.692591,0,0,6,1
14,20,1,0.630306959,10.01588106,210.709373,0,2,2,1
14,20,1,0.59753108,12.0158999,212.709393,0,2,6,1
14,20,1,0.456073999,13.99922705,214.692719,0,0,1,1
14,4,0,0.247709036,0.268776178,221.0128241,0,0,6,1
14,20,1,0.520847082,1.998602152,227.042743,0,0,7,1
14,20,1,0.434106112,3.998964071,229.0431039,0,1,6,1
14,20,1,0.482985973,5.999015093,231.0431559,0,1,6,1
14,20,2,0.447743893,8.015761137,233.059902,0,2,1,1
14,20,1,0.406599045,9.999094009,235.0432339,0,0,4,1
14,20,1,0.495785952,11.9991591,237.0432999,0,1,2,1
14,20,1,0.47044301,13.99924517,239.043386,0,0,6,1
14,8,1,0.831968069,2.015974045,247.1106479,0,2,2,1
14,8,1,0.400860071,3.998942137,249.093616,0,1,0,1
14,8,1,0.414963007,6.015645981,251.1103201,0,2,7,1
14,8,1,0.488311052,7.999047041,253.0937209,0,0,7,1
14,8,1,0.373511076,9.999057055,255.0937309,0,1,2,1
14,8,1,0.350542784,11.99912691,257.093801,0,1,5,1
14,8,1,0.541578054,13.99918699,259.0938599,0,0,2,1
14,8,1,0.493489027,1.999249935,267.1440279,0,0,6,1
14,8,1,0.480695009,4.015945911,269.1607239,0,2,0,1
14,8,1,0.547599077,6.016049862,271.1608279,0,2,6,1
14,8,1,0.365052938,8.016030788,273.160809,0,2,0,1
14,8,1,0.464388132,9.999436855,275.1442151,0,0,7,1
14,8,1,0.420845985,11.99949694,277.144274,0,1,6,1
14,8,1,0.396529913,13.99951386,279.1442919,0,1,3,1
14,8,1,0.522418976,1.998932123,287.194562,0,1,1,1
14,8,1,0.369127989,3.99893117,289.1945601,0,1,0,1
14,8,1,0.363847971,5.998998165,291.194628,0,1,0,1
14,8,1,0.459149837,7.999068975,293.194699,0,0,4,1
14,8,1,0.730890989,10.01567698,295.2113061,0,2,0,1
14,8,1,0.697053909,12.01583695,297.211467,0,2,7,1
14,8,1,0.412441969,13.9991591,299.1947889,0,0,1,1
14,20,1,0.46461606,2.015662909,307.2617259,0,2,1,1
14,20,1,0.440330982,3.999018908,309.2450809,0,0,1,1
14,20,1,0.510416985,5.999042988,311.245106,0,0,2,1
14,20,1,0.431587934,8.015763998,313.261827,0,2,4,1
14,20,1,0.498068094,10.01581597,315.261879,0,2,0,1
14,20,1,0.398036957,12.01585984,317.2619231,0,2,6,1
14,20,1,0.434338093,13.99923396,319.245296,0,0,1,1
14,20,1,0.467826128,1.999374151,327.295516,0,1,7,1
14,20,1,0.461193085,3.999437094,329.295578,0,0,0,1
14,20,1,0.365833044,5.999467134,331.295609,0,1,4,1
14,20,1,0.458899021,7.99950695,333.2956481,0,1,2,1
14,20,1,0.530930996,10.01618004,335.3123219,0,2,2,1
14,20,2,0.56507802,12.01630402,337.3124459,0,2,2,1
14,20,1,0.518413067,14.00008607,339.2962279,0,0,4,1
14,8,0,0.615394115,0.617182016,345.964174,0,2,4,1
14,4,0,0.624439955,0.627717972,350.6248429,0,1,5,1
14,4,0,0.677561045,0.697915077,355.361448,0,0,3,1
14,20,1,0.539323092,1.999251842,361.3963411,0,0,4,1
14,20,1,0.455155849,3.99928689,363.3963759,0,0,4,1
14,20,1,0.405342817,5.999051809,365.3961411,0,1,7,1
14,20,1,0.425668955,7.999388933,367.3964779,0,1,2,1
14,20,1,0.345197916,9.999441862,369.3965311,0,1,5,1
14,20,1,0.403789997,11.99949098,371.39658,0,1,0,1
14,20,1,0.437469006,13.99962187,373.3967109,0,0,6,1
14,20,1,0.648743153,2.016171932,381.4639709,0,2,1,1
14,20,2,0.331847191,4.01580286,383.463603,0,2,1,1
14,20,1,0.478384972,5.999146938,385.4469471,0,0,1,1
14,20,1,0.831423044,8.015837908,387.4636381,0,2,7,1
14,20,1,0.562932014,10.01592588,389.463726,0,2,3,1
14,20,1,0.437936068,11.99932694,391.4471271,0,1,3,1
14,20,1,0.93174386,14.01598406,393.463784,0,2,3,1
14,4,0,0.387315989,0.390225172,399.90521,0,1,3,1
14,8,1,0.520699024,1.998961926,405.9307799,0,1,1,1
14,8,2,0.648372889,4.01570487,407.9475229,0,2,2,1
14,8,1,0.420432091,5.999062777,409.930881,0,1,2,1
14,8,1,0.394802094,7.999354839,411.931174,0,1,7,1
14,8,1,0.404304981,9.999312878,413.9311309,0,1,7,1
14,8,1,0.528164148,11.99919486,415.9310131,0,0,2,1
14,8,1,0.515166998,14.01591897,417.947737,0,2,2,1
2,4,1,0.65834713,1.999425888,431.964761,0,1,2,2
2,8,1,0.599692106,1.999273062,452.0152159,0,0,0,2
2,20,1,0.72330904,1.99889493,472.0654399,0,0,2,2
2,8,1,0.542709827,1.998889923,492.116183,0,0,1,2
2,20,1,0.815310001,2.015706062,512.1833699,0,2,1,2
2,4,1,0.535890818,1.999662161,532.233814,0,1,6,2
2,8,1,0.514940023,2.015583992,552.3009779,0,2,4,2
2,4,1,0.457443953,1.998739958,572.3514121,0,1,4,2
2,20,1,0.598036051,1.999247074,592.401896,0,1,1,2
2,8,1,0.514989138,2.015960932,612.4690659,0,2,5,2
2,4,1,0.579519033,1.999319077,632.519815,0,0,6,2
2,20,1,0.765555859,2.01590991,652.586729,0,2,3,2
2,4,1,0.594017029,1.999047041,672.637162,0,0,1,2
2,8,1,0.531276941,2.015614986,692.7043691,0,2,2,2
2,20,1,0.839817047,1.998872995,712.7547779,0,1,2,2
2,4,1,0.455398083,1.998910189,732.8052781,0,0,6,2
2,8,1,0.599505901,2.016360044,752.8722789,0,2,2,2
2,20,1,0.537697077,1.998980045,772.922936,0,0,0,2
2,8,1,0.631071091,1.999017954,792.97333,0,1,2,2
2,20,1,0.520267963,1.999042988,813.0238509,0,1,0,2
2,8,1,0.684939861,2.0001719,833.0742829,0,1,4,2
10,20,1,0.504925966,1.998986006,859.1582971,0,0,3,3
10,20,1,0.548386812,4.015665054,861.1749749,0,2,3,3
10,20,1,0.451187134,5.999049187,863.1583591,0,0,0,3
10,20,1,0.530864,8.015802145,865.175113,0,2,1,3
10,20,2,0.681656122,10.01587415,867.175185,0,2,3,3
10,8,1,0.560462952,1.998899937,879.225419,0,0,1,3
10,8,1,0.447082996,3.998924971,881.2254441,0,1,7,3
10,8,1,0.514750004,5.999006987,883.2255261,0,1,1,3
10,8,1,0.36430192,7.999083042,885.2256019,0,1,5,3
10,8,1,0.430179834,9.999089956,887.2256091,0,0,1,3
10,20,2,0.865616083,2.01594615,899.292604,0,2,2,3
10,20,1,0.443131924,3.999293089,901.2759509,0,0,2,3
10,20,1,0.385175943,5.999341965,903.276001,0,1,4,3
10,20,1,0.460808992,7.99938798,905.276046,0,0,1,3
10,20,1,0.402758121,9.999444008,907.2761021,0,1,7,3
10,4,0,0.282471895,0.284379005,917.6115611,0,2,6,3
10,4,1,0.532207012,2.015949011,927.6599269,0,2,0,3
10,4,1,0.464254856,4.016018867,929.659996,0,2,6,3
10,4,1,0.433173895,5.999356031,931.643332,0,0,0,3
10,4,1,0.48449707,7.999451876,933.6434281,0,0,3,3
10,4,1,0.355193138,9.999490976,935.6434679,0,1,4,3
10,8,1,0.562939882,2.01553297,947.7103851,0,2,2,3
10,8,1,0.466248035,4.015606165,949.710459,0,2,0,3
10,8,1,0.535239935,5.998969078,951.6938219,0,1,1,3
10,8,1,0.413422108,8.015724182,953.710577,0,2,4,3
