"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"1","WAIT",10,20,1,10.0171730518341,17.0656027793884,"Reward",1,1
"2","WAIT",10,4,0,1.20405387878418,27.1160809993744,"OfferQuit",1,1
"3","GRIP",10,20,2,1.88271307945251,37.0318157672882,"Forced Travel",1,1
"4","GRIP",10,4,0,0.826433897018433,45.0662858486176,"OfferQuit",1,1
"5","WAIT",10,8,1,10.0171298980713,63.1165390014648,"Reward",1,1
"6","GRIP",10,8,1,10.0250451564789,83.1915988922119,"Reward",1,1
"7","GRIP",10,4,0,0.876947164535522,93.2501139640808,"OfferQuit",1,1
"8","WAIT",10,8,1,10.0168700218201,111.300498962402,"Reward",1,1
"9","WAIT",10,20,1,10.0168659687042,131.417453765869,"Reward",1,1
"10","WAIT",10,4,0,1.20025897026062,141.467508792877,"OfferQuit",1,1
"11","GRIP",10,20,1,10.021525144577,159.52253484726,"Reward",1,1
"12","GRIP",10,8,0,1.51104402542114,169.567999839783,"OfferQuit",1,1
"13","WAIT",10,8,1,10.0171110630035,187.618283987045,"Reward",1,1
"14","GRIP",10,4,0,1.31655597686768,197.701714992523,"OfferQuit",1,1
"15","GRIP",10,8,1,10.0209538936615,215.755394935608,"Reward",1,1
"16","WAIT",10,20,1,10.0165200233459,235.818702936172,"Reward",1,1
"17","GRIP",10,20,1,10.0209710597992,255.889890909195,"Reward",1,1
"18","WAIT",10,4,0,1.39716005325317,265.935922861099,"OfferQuit",1,1
"19","GRIP",10,20,1,10.0214231014252,283.990508794785,"Reward",1,1
"20","GRIP",10,4,0,1.43891096115112,294.053310871124,"OfferQuit",1,1
"21","WAIT",10,8,1,10.0170350074768,312.103548765182,"Reward",1,1
"22","WAIT",10,20,1,10.0168199539185,332.170529842377,"Reward",1,1
"23","WAIT",10,4,0,1.31288695335388,342.220646858215,"OfferQuit",1,1
"24","GRIP",10,8,1,10.021008014679,360.274748802185,"Reward",1,1
"25","WAIT",10,8,1,10.0163760185242,380.337082862854,"Reward",1,1
"26","GRIP",10,8,1,10.0204091072083,400.408316850662,"Reward",1,1
"27","WAIT",10,20,1,10.0171120166779,420.471694946289,"Reward",1,1
"28","COGNITIVE",10,4,0,1.31460618972778,436.821567773819,"OfferQuit",2,0
"29","COGNITIVE",10,20,1,10.0003309249878,454.856197834015,"Reward",2,0
"30","WAIT",10,4,0,1.11249899864197,464.905498981476,"OfferQuit",2,0
"31","WAIT",10,20,1,10.0163199901581,482.955500841141,"Reward",2,0
"32","WAIT",10,8,1,10.0167081356049,503.023073911667,"Reward",2,0
"33","COGNITIVE",10,8,2,10.0007801055908,523.073855876923,"Forced Travel",2,0
"34","COGNITIVE",10,4,0,0.841147899627686,531.107139825821,"OfferQuit",2,0
"35","WAIT",10,20,1,10.0167360305786,549.157133817673,"Reward",2,0
"36","COGNITIVE",10,8,1,10.0003778934479,569.207503795624,"Reward",2,0
"37","WAIT",10,8,1,10.0173649787903,589.274827957153,"Reward",2,0
"38","COGNITIVE",10,20,0,1.43067717552185,599.324597835541,"OfferQuit",2,0
"39","WAIT",10,4,0,0.754044055938721,607.357889890671,"OfferQuit",2,0
"40","WAIT",10,20,1,10.0166099071503,625.491814851761,"Reward",2,0
"41","WAIT",10,8,0,1.50553297996521,635.541830778122,"OfferQuit",2,0
"42","COGNITIVE",10,20,1,10.0007181167603,653.575659990311,"Reward",2,0
"43","WAIT",10,4,0,0.520678043365479,663.625623941422,"OfferQuit",2,0
"44","COGNITIVE",10,8,1,10.0006911754608,681.659627914429,"Reward",2,0
"45","COGNITIVE",10,4,0,1.12913393974304,691.709538936615,"OfferQuit",2,0
"46","WAIT",10,8,1,10.015753030777,709.758614778519,"Reward",2,0
"47","COGNITIVE",10,20,1,10.0009651184082,729.810437917709,"Reward",2,0
"48","COGNITIVE",10,4,0,0.872521877288818,739.860191822052,"OfferQuit",2,0
"49","COGNITIVE",10,8,1,10.0016000270844,757.895351886749,"Reward",2,0
"50","WAIT",10,4,0,1.3826208114624,767.943899869919,"OfferQuit",2,0
"51","WAIT",10,20,1,10.0169200897217,785.994295835495,"Reward",2,0
"52","COGNITIVE",10,4,0,1.18352603912354,796.044323921204,"OfferQuit",2,0
"53","WAIT",10,8,1,10.0170428752899,814.094711780548,"Reward",2,0
"54","COGNITIVE",10,20,1,10.0009658336639,834.145401000977,"Reward",2,0
"55","WAIT",10,20,1,10.0167310237885,854.211820840836,"Reward",2,0
"56","WAIT",10,8,0,0.0518410205841064,870.031231880188,"Quit",3,1
"57","GRIP",10,20,1,10.0335340499878,888.095164775848,"Reward",3,1
"58","GRIP",10,4,0,1.30239009857178,898.145665884018,"OfferQuit",3,1
"59","WAIT",10,20,1,10.016832113266,916.1960709095,"Reward",3,1
"60","WAIT",10,4,0,0.984546899795532,927.230925798416,"Quit",3,1
"61","GRIP",10,8,0,1.80660009384155,935.262852907181,"OfferQuit",3,1
"62","GRIP",10,8,1,10.0045990943909,953.30050778389,"Reward",3,1
"63","WAIT",10,8,1,10.0166039466858,973.363504886627,"Reward",3,1
"64","GRIP",10,20,1,10.004625082016,993.417650938034,"Reward",3,1
"65","WAIT",10,4,0,0.966989994049072,1003.46390485764,"OfferQuit",3,1
"66","WAIT",10,20,1,10.0164258480072,1021.51420092583,"Reward",3,1
"67","GRIP",10,4,0,1.36857795715332,1031.56407284737,"OfferQuit",3,1
"68","GRIP",10,20,1,10.0202898979187,1049.61861991882,"Reward",3,1
"69","WAIT",10,8,0,1.3066930770874,1059.66511178017,"OfferQuit",3,1
"70","WAIT",10,20,1,10.0167460441589,1077.71534085274,"Reward",3,1
"71","GRIP",10,4,0,1.19114089012146,1087.8653049469,"OfferQuit",3,1
"72","GRIP",10,8,1,10.0209770202637,1105.91966485977,"Reward",3,1
"73","WAIT",10,4,0,1.31148386001587,1115.96545696259,"OfferQuit",3,1
"74","GRIP",10,20,1,10.0202438831329,1134.01925778389,"Reward",3,1
"75","WAIT",10,8,1,10.0170819759369,1154.08339285851,"Reward",3,1
"76","GRIP",10,8,1,10.023500919342,1174.15643978119,"Reward",3,1
"77","WAIT",10,20,1,10.0169599056244,1194.23377799988,"Reward",3,1
"78","GRIP",10,4,0,1.92064714431763,1204.28391098976,"OfferQuit",3,1
"79","WAIT",10,4,0,1.21489596366882,1212.31714487076,"OfferQuit",3,1
"80","GRIP",10,8,1,10.0308351516724,1230.38154983521,"Reward",3,1
"81","GRIP",10,20,1,10.0234608650208,1250.45792794228,"Reward",3,1
"82","WAIT",10,20,1,10.0170149803162,1270.53492879868,"Reward",3,1
"83","WAIT",10,8,1,10.0163459777832,1290.60169291496,"Reward",3,1
"84","WAIT",10,20,1,10.0157089233398,1423.66980791092,"Reward",4,0
"85","COGNITIVE",10,20,1,10.000501871109,1443.72123980522,"Reward",4,0
"86","COGNITIVE",10,8,1,10.0006430149078,1463.77174782753,"Reward",4,0
"87","COGNITIVE",10,4,0,0.894528865814209,1473.82148098946,"OfferQuit",4,0
"88","WAIT",10,8,1,10.016795873642,1491.87170791626,"Reward",4,0
"89","WAIT",10,4,0,1.00234699249268,1501.92185091972,"OfferQuit",4,0
"90","COGNITIVE",10,4,0,0.861729145050049,1509.95540094376,"OfferQuit",4,0
"91","WAIT",10,8,1,10.0171010494232,1528.00555181503,"Reward",4,0
"92","WAIT",10,4,0,0.968626022338867,1538.05490279198,"OfferQuit",4,0
"93","COGNITIVE",10,20,1,10.00075507164,1556.08984494209,"Reward",4,0
"94","COGNITIVE",10,8,1,10.0006000995636,1576.14019083977,"Reward",4,0
"95","WAIT",10,20,1,10.0172758102417,1596.20658898354,"Reward",4,0
"96","COGNITIVE",10,4,0,1.29849195480347,1606.25664687157,"OfferQuit",4,0
"97","WAIT",10,20,1,10.0167460441589,1624.30702590942,"Reward",4,0
"98","COGNITIVE",10,20,1,10.0014820098877,1644.35785293579,"Reward",4,0
