"","Cost","Handling","Offer","Choice","RT","ExpTime","ResponseType","Block","BlockType"
"1","WAIT",10,8,1,10.0165770053864,17.0699038505554,"Reward",1,1
"2","WAIT",10,20,1,10.0167720317841,37.1368098258972,"Reward",1,1
"3","GRIP",10,8,1,10.0274457931519,57.2140119075775,"Reward",1,1
"4","WAIT",10,4,1,10.0168170928955,77.2872579097748,"Reward",1,1
"5","GRIP",10,4,1,10.0261118412018,97.3633120059967,"Reward",1,1
"6","GRIP",10,20,1,10.0269410610199,117.448079824448,"Reward",1,1
"7","WAIT",10,8,1,10.0171368122101,137.521255970001,"Reward",1,1
"8","WAIT",10,20,1,10.0165288448334,157.638137817383,"Reward",1,1
"9","GRIP",10,4,1,10.0250837802887,177.713408946991,"Reward",1,1
"10","GRIP",10,20,1,10.0268490314484,197.79872584343,"Reward",1,1
"11","WAIT",10,4,1,10.0169820785522,217.872166872025,"Reward",1,1
"12","GRIP",10,8,1,10.0276019573212,237.94989991188,"Reward",1,1
"13","GRIP",10,20,1,10.026939868927,258.033051967621,"Reward",1,1
"14","WAIT",10,4,1,10.0167059898376,278.106178998947,"Reward",1,1
"15","GRIP",10,8,1,10.0261869430542,298.182471990585,"Reward",1,1
"16","WAIT",10,20,1,10.0166730880737,318.256774902344,"Reward",1,1
"17","GRIP",10,4,1,10.0266289710999,338.333549976349,"Reward",1,1
"18","WAIT",10,8,1,10.0167398452759,358.407202959061,"Reward",1,1
"19","GRIP",10,4,1,10.026034116745,378.483321905136,"Reward",1,1
"20","WAIT",10,8,1,10.0167388916016,398.557619810104,"Reward",1,1
"21","WAIT",10,4,0,1.33520197868347,408.607704877853,"OfferQuit",1,1
"22","GRIP",10,8,1,10.0268158912659,426.668210029602,"Reward",1,1
"23","COGNITIVE",10,4,1,10.001188993454,452.926117897034,"Reward",2,0
"24","WAIT",10,20,1,10.0171988010406,472.991647958755,"Reward",2,0
"25","COGNITIVE",10,20,1,10.0007448196411,493.042370796204,"Reward",2,0
"26","COGNITIVE",10,8,2,10.0179340839386,513.110101938248,"Forced Travel",2,0
"27","WAIT",10,8,1,10.0165681838989,531.158994913101,"Reward",2,0
"28","WAIT",10,4,1,10.0165579319,551.225865840912,"Reward",2,0
"29","WAIT",10,20,1,10.016489982605,571.292732000351,"Reward",2,0
"30","WAIT",10,8,1,10.0164201259613,591.359617948532,"Reward",2,0
"31","COGNITIVE",10,4,0,1.24715995788574,601.409837961197,"OfferQuit",2,0
"32","COGNITIVE",10,20,2,4.00020694732666,613.443678855896,"Forced Travel",2,0
"33","WAIT",10,4,1,10.0167629718781,631.493438959122,"Reward",2,0
"34","COGNITIVE",10,8,2,10.0008411407471,651.54444694519,"Forced Travel",2,0
"35","COGNITIVE",10,8,2,6.00045895576477,665.577656030655,"Forced Travel",2,0
"36","WAIT",10,4,1,10.0173628330231,683.627341032028,"Reward",2,0
"37","COGNITIVE",10,4,0,1.29027199745178,693.760670900345,"OfferQuit",2,0
"38","WAIT",10,8,1,10.0164721012115,711.811014890671,"Reward",2,0
"39","COGNITIVE",10,20,1,10.0003769397736,731.86167383194,"Reward",2,0
"40","WAIT",10,20,1,10.0166399478912,751.927961826324,"Reward",2,0
"41","COGNITIVE",10,8,2,8.00087690353394,769.978567838669,"Forced Travel",2,0
"42","WAIT",10,4,1,10.0167119503021,788.028190851212,"Reward",2,0
"43","WAIT",10,20,1,10.0165660381317,808.095038890839,"Reward",2,0
"44","COGNITIVE",10,4,0,0.0688009262084961,818.213405847549,"Quit",2,0
"45","COGNITIVE",10,20,0,1.03238296508789,826.245242834091,"OfferQuit",2,0
"46","WAIT",10,8,1,10.0167279243469,844.295200824738,"Reward",2,0
"47","COGNITIVE",10,4,0,0.955682992935181,854.344479799271,"OfferQuit",2,0
"48","GRIP",10,20,1,10.0121421813965,878.673318862915,"Reward",3,1
"49","GRIP",10,4,1,10.0257308483124,898.754765987396,"Reward",3,1
"50","WAIT",10,20,1,10.0171279907227,918.829001903534,"Reward",3,1
"51","WAIT",10,8,1,10.0165359973907,938.89576292038,"Reward",3,1
"52","GRIP",10,8,1,10.0262160301208,958.972147941589,"Reward",3,1
"53","WAIT",10,4,1,10.0166900157928,979.046003818512,"Reward",3,1
"54","WAIT",10,4,1,10.0165770053864,999.112794876099,"Reward",3,1
"55","WAIT",10,20,1,10.016676902771,1019.17958283424,"Reward",3,1
"56","GRIP",10,20,1,10.0259730815887,1039.25561785698,"Reward",3,1
"57","GRIP",10,8,1,10.0259211063385,1059.33925485611,"Reward",3,1
"58","GRIP",10,4,0,1.53114700317383,1069.39669585228,"OfferQuit",3,1
"59","WAIT",10,8,1,10.0167200565338,1087.44668483734,"Reward",3,1
"60","WAIT",10,4,1,10.0166170597076,1107.51345992088,"Reward",3,1
"61","GRIP",10,8,1,10.0279550552368,1127.59148788452,"Reward",3,1
"62","WAIT",10,20,1,10.0167369842529,1147.66370582581,"Reward",3,1
"63","WAIT",10,8,1,10.0165929794312,1167.73048782349,"Reward",3,1
"64","GRIP",10,4,0,0.694066047668457,1177.78055596352,"OfferQuit",3,1
"65","GRIP",10,20,1,10.0268709659576,1195.8410718441,"Reward",3,1
"66","WAIT",10,4,0,1.68448400497437,1205.89704585075,"OfferQuit",3,1
"67","WAIT",10,20,1,10.0164630413055,1224.03086090088,"Reward",3,1
"68","GRIP",10,20,1,10.0266599655151,1244.10714197159,"Reward",3,1
"69","WAIT",10,8,1,10.0167138576508,1264.18108081818,"Reward",3,1
"70","GRIP",10,4,0,1.347815990448,1274.23116993904,"OfferQuit",3,1
"71","COGNITIVE",10,4,0,1.41088891029358,1319.86434984207,"OfferQuit",4,0
"72","COGNITIVE",10,8,1,10.0004518032074,1337.89871501923,"Reward",4,0
